Name	CAS nr	εr	nD	Kirkwood	f(nD)	g(εr)
(dichloromethyl)benzene	98-87-3	6.9	1.550	0.399	0.412	0.747
1,1,1-trichloroacetone	918-00-3	10.4	1.462	0.431	0.363	0.824
1,1,1-trichloroethane	71-55-6	7.3	1.438	0.403	0.348	0.758
1,1,1-trichlorotrifluoroethane	354-58-5	2.4	1.360	0.245	0.298	0.419
1,1,2,2-tetrabromoethane	79-27-6	7.0	1.628	0.400	0.452	0.750
1,1,2,2-tetrachloroethane	79-34-5	8.4	1.494	0.416	0.381	0.788
1,1,2-trichloro-1,2,2-trifluoroethane	76-13-1	2.4	1.356	0.242	0.295	0.413
1,1,2-trichloroethane	79-00-5	7.3	1.471	0.404	0.368	0.758
1,1,3,3-tetraethylurea	1187-03-7	14.7	1.446	0.451	0.353	0.873
1,1-dichloroethane	75-34-3	10.0	1.416	0.429	0.334	0.818
1,1-dichloroethene	75-35-4	4.7	1.425	0.355	0.340	0.647
1,1-diethoxyethane	105-57-7	3.8	1.381	0.326	0.312	0.583
1,1-diethoxymethane	462-95-3	2.5	1.373	0.252	0.307	0.433
1,1-dimethoxyethane	534-15-6	3.5	1.366	0.312	0.302	0.555
1,10-dichlorodecane	2162-98-3	7.1	1.460	0.401	0.361	0.752
1,2,3,4-tetrachlorobenzene	634-66-2	3.2	1.580	0.297	0.428	0.524
1,2,3,4-tetramethylbenzene	488-23-3	2.6	1.515	0.257	0.393	0.443
1,2,3-propanetriol	56-81-5	47.0	1.475	0.484	0.370	0.958
1,2,3-propanetriyl-tri-(Z)-9-octadecenoate	122-32-7	3.8	1.468	0.326	0.366	0.583
1,2,3-tribromopropane	96-11-7	6.5	1.582	0.392	0.429	0.732
1,2,3-trichloropropane	96-18-4	7.9	1.486	0.411	0.377	0.775
1,2,4-trichlorobenzene	120-82-1	2.2	1.572	0.226	0.424	0.383
1,2-diaminoethane	107-15-3	14.2	1.457	0.449	0.359	0.868
1,2-dibromobenzene	583-53-9	8.1	1.609	0.412	0.443	0.779
1,2-dibromoethane	106-93-4	4.8	1.538	0.357	0.406	0.652
1,2-dibromopropane	78-75-1	4.3	1.520	0.344	0.396	0.623
1,2-dichloro-1,1,2,3,3,3-hexafluoropropan	661-97-2	2.4	1.303	0.240	0.259	0.408
1,2-dichloro-1,2,3,3,4,4-hexafluorocyclobutane	356-18-3	2.5	1.333	0.247	0.280	0.422
1,2-dichlorobenzene	95-50-1	9.9	1.551	0.428	0.413	0.817
1,2-dichloroethane	107-06-2	10.4	1.445	0.431	0.352	0.824
1,2-dichloropropane	78-87-5	8.9	1.439	0.420	0.349	0.799
1,2-difluorobenzene	367-11-3	14.3	1.443	0.449	0.351	0.869
1,2-dimethoxy-4-propenylbenzene	93-16-3	4.7	1.569	0.356	0.422	0.649
1,2-dimethoxybenzene	91-16-7	4.1	1.532	0.337	0.402	0.607
